"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Blacksburg, Virginia",35669,76592925,"South","Continental",85.10833333,17.69166667,12.03333333,81098,33393,15472,32.5,59,6.3,33.3,53.8,6.4,60.2,5.1,21.5,1943.2,2854.9,1775.2,471.9,51041400,0.000698824875493227,2147.3247077294
"Bloomington, Indiana",120984,334549166.666667,"Midwest","Continental",101.75,17.43333333,11.64166667,55466,58933,33766,35.1,47.9,13.6,37.9,49.7,10.9,60.6,4.6,13.8,5831.7,4752.9,2712.6,902.5,133977000,0.00090302066772655,2765.23479688774
"Bloomington, Minnesota",87224,288587445.216667,"Midwest","Continental",70.10833333,12.81666667,10.34166667,76601,58933,37654,57.7,16.5,25.3,12.1,81.3,6.5,87.8,6,31.6,4603,6466.4,4527.7,2511.6,99473900,0.000876853124286873,3308.57843273258
"Boston, Massachusetts",1180000,1780827159.08333,"Northeast","Continental",101.1083333,15,9.85,58600,76831,285660,12.3,63.5,24.2,12.6,29.5,57.1,86.6,4.3,59.4,1689,3866.9,11795.6,10587,129923000,0.00908230259461373,1509.1755585452
"Boulder City, Nevada",21631,318537083.333333,"West","Arid",10.525,27.275,35.73333333,79089,57892,7603,62.6,20,2,27.9,58,12.2,70.2,5.3,1.7,1536.4,2070.6,1438.6,169.2,539483000,4.00957954189474e-05,14725.9527221734
"Bowie, Maryland",21703,39884611.1108333,"South","Temperate",94.69166667,18.775,13.85,114827,58970,21330,70.9,24.3,4.8,38.5,60.9,1.5,62.4,7.3,22.5,799.1,1362.2,115.8,50.7,11319600,0.00191729389731086,1837.74644569107
"Bozeman, Montana",44921,155020390.721667,"West","Continental",40.775,13.93333333,13.45833333,59683,42615,19972,40.3,49.7,6.5,50.5,35.3,11.8,47.1,4.9,17.1,4064.6,3663.8,1900.6,328.4,72321900,0.000621125827723,3450.95591642365
"Brownsville, Texas",183823,541788666.666667,"South","Temperate",57.03333333,28.56666667,20.19166667,31760,20971,56316,69.1,20,6,47.9,44.6,5,49.6,5,13.5,6698.6,10031.6,9585.9,2835.5,378348000,0.000485856935942571,2947.33883500251
"Casper, Wyoming",55000,289023370.083333,"West","Continental",29.15833333,15.3,16.44166667,62721,63008,26238,67.9,18.9,8.5,20.3,62.6,15.5,78.1,5.9,26.1,2643.9,3842,3831.7,591.9,69406600,0.00079243184365752,5254.97036515151
"Charlotte, North Carolina",954644,2756114265.08333,"South","Temperate",93.44166667,21.84166667,16.2,63272,57209,343222,56.2,29.8,12.7,49,44.7,5.9,50.6,5.4,25.7,69376.1,55235.7,24087.6,13266,798209000,0.00119598250583494,2887.05974696676
